clean_sentence,noisy_sentence,error_type
টাকারও ব্যবস্থা করা হয়।,টাকারও ব্যবস্থা করা হজ়।,phonetic
টাকারও ব্যবস্থা করা হয়।,তাকারও ব্যবস্থা করা হয়।,visual
টাকারও ব্যবস্থা করা হয়।,টাকিরও ব্যবস্থা করা হয়।,keyboard
টাকারও ব্যবস্থা করা হয়।,টা কারও ব্যবস্থা করা হয়।,split
টাকারও ব্যবস্থা করা হয়।,টাকারওব্যবস্থা করা হয়।,run_on
রাজধানীর মিরপুরে পানির লাইনে কাজ করার সময় গাড়িচাপায় মো. শামীম (৪৭) নামের ঢাকা ওয়াসার এক কর্মচারী নিহত হয়েছেন বলে জানিয়েছে পুলিশ।,রাজধানীর মিরপুরে পানির লাইনে কাজ করার সময় গাড়িচাপায় মো. শামীম (৪৭) নামের ঢাকা ওয়াসার এক কর্মচারী নিহত হয়েছেন বলে যানিয়েছে পুলিশ।,phonetic
রাজধানীর মিরপুরে পানির লাইনে কাজ করার সময় গাড়িচাপায় মো. শামীম (৪৭) নামের ঢাকা ওয়াসার এক কর্মচারী নিহত হয়েছেন বলে জানিয়েছে পুলিশ।,রাজদানীর মিরপুরে পানির লাইনে কাজ করার সময় গাড়িচাপায় মো. শামীম (৪৭) নামের ঢাকা ওয়াসার এক কর্মচারী নিহত হয়েছেন বলে জানিয়েছে পুলিশ।,visual
রাজধানীর মিরপুরে পানির লাইনে কাজ করার সময় গাড়িচাপায় মো. শামীম (৪৭) নামের ঢাকা ওয়াসার এক কর্মচারী নিহত হয়েছেন বলে জানিয়েছে পুলিশ।,রাজধানীর মিরপুরে পিনির লাইনে কাজ করার সময় গাড়িচাপায় মো. শামীম (৪৭) নামের ঢাকা ওয়াসার এক কর্মচারী নিহত হয়েছেন বলে জানিয়েছে পুলিশ।,keyboard
রাজধানীর মিরপুরে পানির লাইনে কাজ করার সময় গাড়িচাপায় মো. শামীম (৪৭) নামের ঢাকা ওয়াসার এক কর্মচারী নিহত হয়েছেন বলে জানিয়েছে পুলিশ।,রাজধানীর মিরপুরে পানির লা ইনে কাজ করার সময় গাড়িচাপায় মো. শামীম (৪৭) নামের ঢাকা ওয়াসার এক কর্মচারী নিহত হয়েছেন বলে জানিয়েছে পুলিশ।,split
রাজধানীর মিরপুরে পানির লাইনে কাজ করার সময় গাড়িচাপায় মো. শামীম (৪৭) নামের ঢাকা ওয়াসার এক কর্মচারী নিহত হয়েছেন বলে জানিয়েছে পুলিশ।,রাজধানীর মিরপুরে পানির লাইনে কাজ করার সময়গাড়িচাপায় মো. শামীম (৪৭) নামের ঢাকা ওয়াসার এক কর্মচারী নিহত হয়েছেন বলে জানিয়েছে পুলিশ।,run_on
"আদালতে চিন্ময়ের পক্ষে আইনজীবী অপূর্ব কুমার ভট্টাচার্য শুনানি করেন, সঙ্গে ছিলেন আইনজীবী জয়া ভট্টাচার্য, অনুপ কুমার সাহা, মিন্টু কুমার মন্ডল প্রমুখ।","আদালতে চিন্ময়ের পক্ষে আইনজীবী অপূর্ব কুমার ভট্টাচার্য শুনানি করেন, সঙ্গে ছিলেন আইনজীবী জয়া ভট্টাচার্য, অনুপ কুমার সাহা, মিন্টু কুমার মণ্ডল প্রমুখ।",phonetic
"আদালতে চিন্ময়ের পক্ষে আইনজীবী অপূর্ব কুমার ভট্টাচার্য শুনানি করেন, সঙ্গে ছিলেন আইনজীবী জয়া ভট্টাচার্য, অনুপ কুমার সাহা, মিন্টু কুমার মন্ডল প্রমুখ।","আদালতে চিন্ময়ের পক্ষে আইনজীবী অপূর্ব কুমার ভত্টাচার্য শুনানি করেন, সঙ্গে ছিলেন আইনজীবী জয়া ভট্টাচার্য, অনুপ কুমার সাহা, মিন্টু কুমার মন্ডল প্রমুখ।",visual
"আদালতে চিন্ময়ের পক্ষে আইনজীবী অপূর্ব কুমার ভট্টাচার্য শুনানি করেন, সঙ্গে ছিলেন আইনজীবী জয়া ভট্টাচার্য, অনুপ কুমার সাহা, মিন্টু কুমার মন্ডল প্রমুখ।","আদালতে চিন্ময়ের পক্ষে আইনজীবী অপূর্ব কুমার ভট্টাচার্য শুনানি করেন, সঙ্গে ছিলেন আইনজীবী জয়া ভট্টাচার্য, অনুপ কুমার সাহা, মিন্টু কুমার মন্ডস প্রমুখ।",keyboard
